,formation,gk rating,defence rating,midfield rating,attack rating,net stamina,net physicallity,away formation,away gk rating,away defence rating,away midfield rating,away attack rating,away net stamina,away net physicallity,home goals,away goals
1449,4-1-4-1,135,338,132,122,2089,2021,4-3-3,227,700,171,206,2065,2233,1,0
1450,4-4-2,287,437,134,366,2038,2187,4-2-3-1,229,741,296,82,2158,2255,2,2
1451,4-3-3,272,282,195,271,1913,2062,4-2-3-1,219,606,147,172,2290,2191,1,2
1452,4-1-4-1,221,577,71,296,2089,2369,3-4-3,231,552,325,239,2270,2261,1,2
1453,4-4-2,287,437,134,366,2038,2187,3-5-2,213,423,503,224,2212,2206,1,1
1454,4-5-1,221,577,71,296,2089,2369,4-3-3,219,606,147,172,2290,2191,1,3
1455,4-3-3,272,282,195,271,1913,2062,4-2-3-1,229,741,296,82,2158,2255,2,1
1456,3-4-3,135,338,132,122,2089,2021,3-5-2,194,211,58,129,1868,1923,2,2
1457,4-4-1-1,217,462,150,155,2193,2254,4-2-3-1,238,515,61,300,2190,2204,2,1
1458,3-5-2,194,211,58,129,1868,1923,4-2-3-1,221,577,71,296,2089,2369,2,1
1459,4-3-3,219,606,147,172,2290,2191,3-5-2,221,423,0,292,2188,2264,1,0
1460,3-4-3,231,552,325,239,2270,2261,4-4-2,135,338,132,122,2089,2021,3,2
1461,4-4-1-1,238,515,61,300,2190,2204,4-4-2,287,437,134,366,2038,2187,3,0
1462,4-3-3,203,411,128,280,2005,2034,4-2-2-2,245,562,0,87,2278,2314,0,1
1463,4-2-3-1,229,741,296,82,2158,2255,4-4-2,286,593,70,287,2097,2105,4,0
1464,4-3-3,227,700,171,206,2065,2233,4-1-4-1,217,462,150,155,2193,2254,3,1
1465,4-4-2,371,727,136,419,2071,2255,4-2-3-1,217,497,123,156,2101,2195,0,0
1466,4-3-3,219,606,147,172,2290,2191,4-2-3-1,135,338,132,122,2089,2021,7,0
1467,4-3-3,203,411,128,280,2005,2034,4-3-3,272,282,195,271,1913,2062,0,2
1468,4-4-1-1,238,515,61,300,2190,2204,4-2-3-1,217,497,123,156,2101,2195,2,0
1469,4-3-3,227,700,171,206,2065,2233,4-4-2,287,437,134,366,2038,2187,2,2
1470,3-4-3,231,552,325,239,2270,2261,3-4-3,217,462,150,155,2193,2254,1,1
1471,4-2-3-1,135,338,132,122,2089,2021,4-2-3-1,238,515,61,300,2190,2204,1,4
1472,4-3-3,219,606,147,172,2290,2191,4-4-1-1,229,741,296,82,2158,2255,6,3
1473,4-4-2,272,282,195,271,1913,2062,3-4-3,231,552,325,239,2270,2261,1,3
1474,4-4-1-1,203,411,128,280,2005,2034,4-2-3-1,238,515,61,300,2190,2204,0,5
1475,3-5-2,287,437,134,366,2038,2187,3-4-3,236,538,84,242,2261,2279,1,1
1476,4-3-3,227,700,171,206,2065,2233,4-2-3-1,203,411,128,280,2005,2034,3,0
1477,4-1-4-1,221,577,71,296,2089,2369,4-2-3-1,217,497,123,156,2101,2195,1,4
1478,3-4-3,231,552,325,239,2270,2261,3-4-3,213,423,503,224,2212,2206,1,1
1479,3-5-2,194,211,58,129,1868,1923,4-3-3,219,606,147,172,2290,2191,0,1
1480,4-2-3-1,238,515,61,300,2190,2204,4-3-3,219,606,147,172,2290,2191,1,2
1481,4-3-3,227,700,171,206,2065,2233,4-2-3-1,217,497,123,156,2101,2195,2,3
1482,4-4-2,221,577,71,296,2089,2369,3-4-3,236,538,84,242,2261,2279,0,1
1483,3-5-2,194,211,58,129,1868,1923,4-3-3,272,282,195,271,1913,2062,2,1
1484,3-4-3,135,338,132,122,2089,2021,4-4-2,371,727,136,419,2071,2255,3,1
1485,3-4-3,217,462,150,155,2193,2254,4-4-2,213,423,503,224,2212,2206,2,3
1486,3-5-2,287,437,134,366,2038,2187,3-5-2,194,211,58,129,1868,1923,4,1
1487,4-3-3,219,606,147,172,2290,2191,3-4-3,231,552,325,239,2270,2261,1,0
1488,4-3-3,272,282,195,271,1913,2062,4-3-3,245,562,0,87,2278,2314,2,2
1489,4-4-2,203,411,128,280,2005,2034,4-4-2,217,462,150,155,2193,2254,2,1
1490,3-5-2,229,741,296,82,2158,2255,3-5-2,236,538,84,242,2261,2279,2,3
1491,3-5-2,194,211,58,129,1868,1923,4-2-3-1,245,562,0,87,2278,2314,1,3
1492,4-3-3,221,577,71,296,2089,2369,4-4-2,203,411,128,280,2005,2034,0,3
1493,3-5-2,194,211,58,129,1868,1923,3-5-2,221,423,0,292,2188,2264,1,2
1494,4-4-2,287,437,134,366,2038,2187,4-3-3,219,606,147,172,2290,2191,1,1
1495,4-2-3-1,135,338,132,122,2089,2021,4-3-3,286,593,70,287,2097,2105,0,1
1496,4-4-2,217,462,150,155,2193,2254,4-3-3,272,282,195,271,1913,2062,0,1
1497,4-3-3,231,552,325,239,2270,2261,4-4-2,236,538,84,242,2261,2279,2,0
1498,4-1-4-1,238,515,61,300,2190,2204,4-4-2,371,727,136,419,2071,2255,0,0
1499,4-2-3-1,229,741,296,82,2158,2255,4-4-2,213,423,503,224,2212,2206,1,1
1500,4-4-2,371,727,136,419,2071,2255,4-4-2,221,577,71,296,2089,2369,0,0
1501,4-4-2,371,727,136,419,2071,2255,4-2-3-1,245,562,0,87,2278,2314,1,1
1502,4-3-3,219,606,147,172,2290,2191,3-5-2,194,211,58,129,1868,1923,2,0
1503,4-3-3,272,282,195,271,1913,2062,4-2-3-1,135,338,132,122,2089,2021,3,3
1504,4-4-2,203,411,128,280,2005,2034,4-3-3,227,700,171,206,2065,2233,1,1
1505,3-5-2,194,211,58,129,1868,1923,4-3-3,227,700,171,206,2065,2233,0,0
1506,4-4-2,217,462,150,155,2193,2254,3-4-3,135,338,132,122,2089,2021,3,0
1507,4-4-2,221,577,71,296,2089,2369,3-5-2,213,423,503,224,2212,2206,0,2
1508,4-3-3,203,411,128,280,2005,2034,4-3-3,219,606,147,172,2290,2191,0,4
1509,4-3-3,229,741,296,82,2158,2255,4-2-3-1,217,497,123,156,2101,2195,2,2
1510,4-3-3,219,606,147,172,2290,2191,3-4-3,236,538,84,242,2261,2279,2,3
1511,4-2-3-1,238,515,61,300,2190,2204,3-5-2,194,211,58,129,1868,1923,2,1
1512,4-4-2,287,437,134,366,2038,2187,4-4-2,217,462,150,155,2193,2254,2,0
1513,4-2-3-1,227,700,171,206,2065,2233,4-3-3,231,552,325,239,2270,2261,0,1
1514,4-3-3,272,282,195,271,1913,2062,4-3-3,221,577,71,296,2089,2369,0,1
1515,4-2-3-1,135,338,132,122,2089,2021,4-2-3-1,245,562,0,87,2278,2314,2,4
1516,4-4-2,371,727,136,419,2071,2255,3-4-3,236,538,84,242,2261,2279,1,0
1517,4-3-3,221,577,71,296,2089,2369,4-3-3,227,700,171,206,2065,2233,1,4
1518,4-2-3-1,238,515,61,300,2190,2204,3-4-3,221,423,0,292,2188,2264,2,1
1519,4-4-2,287,437,134,366,2038,2187,4-1-4-1,203,411,128,280,2005,2034,2,0
1520,4-3-3,254,337,195,63,1909,1941,4-3-3,223,521,70,75,2166,2152,0,2
1521,4-3-3,220,628,175,150,2028,2288,4-4-2,342,712,655,212,2086,2257,1,1
1522,4-1-4-1,141,219,73,200,2110,1910,3-4-3,226,322,143,153,2306,2155,0,4
1523,4-3-3,231,536,240,429,2213,2284,4-3-3,351,753,161,378,2227,2103,0,1
1524,4-4-2,342,712,655,212,2086,2257,4-3-3,224,521,0,156,2194,2172,0,2
1525,4-3-3,224,521,0,156,2194,2172,4-2-3-1,141,219,73,200,2110,1910,1,0
1526,4-4-2,297,290,193,217,2097,2254,4-4-2,287,450,77,422,2090,2210,4,0
1527,4-4-2,342,712,655,212,2086,2257,3-4-3,282,460,234,237,2211,2224,0,4
1528,4-2-3-1,221,602,291,343,2105,2162,4-1-4-1,254,337,195,63,1909,1941,1,3
1529,4-3-3,351,753,161,378,2227,2103,4-2-3-1,241,773,79,0,2264,2294,4,1
1530,4-3-3,293,532,57,301,2152,2319,4-2-3-1,225,468,67,142,2265,2201,2,3
1531,4-2-2-2,287,450,77,422,2090,2210,4-3-3,223,521,70,75,2166,2152,1,2
1532,4-2-3-1,141,219,73,200,2110,1910,4-4-2,297,290,193,217,2097,2254,0,3
1533,3-5-2,221,602,291,343,2105,2162,3-4-3,282,460,234,237,2211,2224,1,3
1534,4-5-1,254,337,195,63,1909,1941,4-4-2,342,712,655,212,2086,2257,2,0
1535,4-3-3,282,460,234,237,2211,2224,3-4-3,223,521,70,75,2166,2152,1,0
1536,4-2-3-1,225,468,67,142,2265,2201,4-2-3-1,224,521,0,156,2194,2172,2,0
1537,4-4-2,287,450,77,422,2090,2210,4-3-3,293,532,57,301,2152,2319,1,2
1538,4-2-3-1,141,219,73,200,2110,1910,4-3-3,221,602,291,343,2105,2162,2,1
1539,3-4-3,231,536,240,429,2213,2284,3-5-2,216,438,281,291,2134,2220,0,1
1540,4-2-3-1,220,628,175,150,2028,2288,4-3-3,351,753,161,378,2227,2103,0,0
1541,4-2-3-1,231,536,240,429,2213,2284,4-3-3,223,521,70,75,2166,2152,1,0
1542,4-3-2-1,297,290,193,217,2097,2254,4-3-3,225,468,67,142,2265,2201,0,1
1543,4-2-3-1,224,521,0,156,2194,2172,4-5-1,254,337,195,63,1909,1941,2,1
1544,4-3-3,282,460,234,237,2211,2224,3-5-2,254,337,195,63,1909,1941,1,4
1545,4-2-3-1,141,219,73,200,2110,1910,4-4-2,287,450,77,422,2090,2210,1,1
1546,4-5-1,342,712,655,212,2086,2257,4-3-3,351,753,161,378,2227,2103,0,2
1547,4-2-3-1,220,628,175,150,2028,2288,4-2-3-1,225,468,67,142,2265,2201,3,0
1548,4-4-2,342,712,655,212,2086,2257,4-3-3,231,536,240,429,2213,2284,3,2
1549,4-2-3-1,225,468,67,142,2265,2201,3-5-2,216,301,0,516,2125,2221,1,2
1550,4-4-2,287,450,77,422,2090,2210,3-4-1-2,282,460,234,237,2211,2224,0,6
1551,4-4-2,297,290,193,217,2097,2254,3-4-3,226,322,143,153,2306,2155,0,4
1552,4-3-3,231,536,240,429,2213,2284,4-2-3-1,241,773,79,0,2264,2294,1,0
1553,4-3-3,293,532,57,301,2152,2319,4-2-3-1,141,219,73,200,2110,1910,0,3
1554,4-2-3-1,224,521,0,156,2194,2172,4-2-3-1,220,628,175,150,2028,2288,2,1
1555,4-3-3,254,337,195,63,1909,1941,4-2-3-1,225,582,199,292,2004,2172,2,0
1556,4-2-3-1,221,602,291,343,2105,2162,4-4-2,342,712,655,212,2086,2257,2,0
1557,3-4-3,287,450,77,422,2090,2210,4-3-3,225,468,67,142,2265,2201,1,0
1558,4-3-3,293,532,57,301,2152,2319,4-3-3,254,337,195,63,1909,1941,1,2
1559,4-3-3,351,753,161,378,2227,2103,3-5-2,216,301,0,516,2125,2221,3,0
1560,3-4-1-2,282,460,234,237,2211,2224,4-2-3-1,225,468,67,142,2265,2201,2,4
1561,4-3-3,231,536,240,429,2213,2284,4-2-3-1,224,521,0,156,2194,2172,1,1
1562,4-4-2,342,712,655,212,2086,2257,3-5-2,287,450,77,422,2090,2210,2,0
1563,4-2-3-1,351,753,161,378,2227,2103,4-3-3,293,532,57,301,2152,2319,5,1
1564,4-2-3-1,225,468,67,142,2265,2201,4-2-3-1,241,773,79,0,2264,2294,3,1
1565,4-1-4-1,224,521,0,156,2194,2172,4-3-2-1,297,290,193,217,2097,2254,0,0
1566,3-5-2,254,337,195,63,1909,1941,3-4-3,226,322,143,153,2306,2155,0,0
1567,4-2-3-1,221,602,291,343,2105,2162,4-3-3,223,521,70,75,2166,2152,0,3
1568,3-4-1-2,282,460,234,237,2211,2224,3-4-1-2,225,582,199,292,2004,2172,1,0
1569,4-4-2,342,712,655,212,2086,2257,3-4-3,216,438,281,291,2134,2220,1,0
1570,4-3-3,220,628,175,150,2028,2288,4-2-3-1,141,219,73,200,2110,1910,0,0
