,formation,gk rating,defence rating,midfield rating,attack rating,net stamina,net physicallity,away formation,away gk rating,away defence rating,away midfield rating,away attack rating,away net stamina,away net physicallity,home goals,away goals
1005,3-4-3,286,593,70,287,2097,2105,4-2-3-1,203,411,128,280,2005,2034,0,0
1006,4-2-3-1,221,577,71,296,2089,2369,4-4-2,217,462,150,155,2193,2254,2,3
1007,4-1-4-1,217,497,123,156,2101,2195,4-2-3-1,213,423,503,224,2212,2206,3,3
1008,4-4-2,371,727,136,419,2071,2255,4-2-3-1,238,515,61,300,2190,2204,0,0
1009,4-2-3-1,236,538,84,242,2261,2279,4-3-3,219,606,147,172,2290,2191,2,0
1010,4-2-3-1,213,423,503,224,2212,2206,4-2-3-1,221,577,71,296,2089,2369,1,1
1011,4-4-2,217,462,150,155,2193,2254,4-1-4-1,227,700,171,206,2065,2233,3,1
1012,3-5-2,193,336,284,314,2025,1969,4-5-1,216,410,379,225,2086,2106,2,1
1013,3-4-3,221,423,0,292,2188,2264,4-1-4-1,229,741,296,82,2158,2255,0,0
1014,4-2-3-1,203,411,128,280,2005,2034,4-3-3,243,624,321,367,2294,2258,0,1
1015,4-2-2-2,287,437,134,366,2038,2187,4-4-2,371,727,136,419,2071,2255,1,2
1016,4-2-3-1,238,515,61,300,2190,2204,3-4-3,286,593,70,287,2097,2105,4,0
1017,3-4-3,272,282,195,271,1913,2062,4-2-3-1,236,538,84,242,2261,2279,2,3
1018,4-3-3,231,552,325,239,2270,2261,3-4-1-2,245,562,0,87,2278,2314,0,2
1019,4-3-3,219,606,147,172,2290,2191,3-5-2,217,497,123,156,2101,2195,2,0
1020,4-4-2,371,727,136,419,2071,2255,4-3-3,216,410,379,225,2086,2106,3,0
1021,3-4-3,231,552,325,239,2270,2261,3-4-3,236,538,84,242,2261,2279,2,1
1022,4-3-3,227,700,171,206,2065,2233,3-4-3,286,593,70,287,2097,2105,1,0
1023,3-5-2,229,741,296,82,2158,2255,4-3-3,219,606,147,172,2290,2191,0,1
1024,3-5-2,193,336,284,314,2025,1969,3-5-2,213,423,503,224,2212,2206,1,1
1025,4-4-2,287,437,134,366,2038,2187,3-4-3,272,282,195,271,1913,2062,2,0
1026,4-2-3-1,238,515,61,300,2190,2204,4-4-2,217,462,150,155,2193,2254,3,2
1027,4-2-3-1,245,562,0,87,2278,2314,4-2-3-1,221,577,71,296,2089,2369,3,0
1028,3-5-2,221,423,0,292,2188,2264,4-2-3-1,203,411,128,280,2005,2034,3,0
1029,4-3-3,243,624,321,367,2294,2258,4-2-3-1,217,497,123,156,2101,2195,3,2
1030,4-2-3-1,203,411,128,280,2005,2034,4-1-4-1,229,741,296,82,2158,2255,1,0
1031,4-3-3,216,410,379,225,2086,2106,3-4-3,231,552,325,239,2270,2261,2,2
1032,4-2-3-1,213,423,503,224,2212,2206,4-1-4-1,227,700,171,206,2065,2233,0,1
1033,4-4-2,286,593,70,287,2097,2105,4-4-2,371,727,136,419,2071,2255,0,0
1034,4-2-3-1,221,577,71,296,2089,2369,4-3-3,243,624,321,367,2294,2258,3,0
1035,4-2-3-1,217,497,123,156,2101,2195,4-4-2,287,437,134,366,2038,2187,3,1
1036,4-4-2,217,462,150,155,2193,2254,4-4-2,245,562,0,87,2278,2314,1,1
1037,3-4-3,236,538,84,242,2261,2279,3-4-3,221,423,0,292,2188,2264,2,3
1038,4-2-3-1,238,515,61,300,2190,2204,4-4-2,217,497,123,156,2101,2195,1,0
1039,4-4-2,371,727,136,419,2071,2255,3-4-3,236,538,84,242,2261,2279,1,1
1040,4-3-3,227,700,171,206,2065,2233,4-2-3-1,221,577,71,296,2089,2369,1,0
1041,4-3-3,243,624,321,367,2294,2258,4-1-4-1,216,410,379,225,2086,2106,2,1
1042,3-5-2,193,336,284,314,2025,1969,4-2-3-1,203,411,128,280,2005,2034,1,0
1043,4-4-2,287,437,134,366,2038,2187,4-4-2,286,593,70,287,2097,2105,0,1
1044,3-5-2,221,423,0,292,2188,2264,4-3-3,213,423,503,224,2212,2206,0,0
1045,4-3-3,231,552,325,239,2270,2261,4-4-2,217,462,150,155,2193,2254,4,0
1046,3-4-1-2,245,562,0,87,2278,2314,4-3-3,219,606,147,172,2290,2191,2,0
1047,4-1-4-1,229,741,296,82,2158,2255,4-1-4-1,272,282,195,271,1913,2062,4,0
1048,4-3-3,272,282,195,271,1913,2062,3-5-2,193,336,284,314,2025,1969,0,0
1049,4-3-3,219,606,147,172,2290,2191,4-3-2-1,238,515,61,300,2190,2204,3,0
1050,4-4-2,203,411,128,280,2005,2034,4-4-2,287,437,134,366,2038,2187,0,3
1051,4-2-3-1,236,538,84,242,2261,2279,4-2-3-1,245,562,0,87,2278,2314,1,1
1052,4-1-4-1,216,410,379,225,2086,2106,4-3-3,227,700,171,206,2065,2233,0,2
1053,4-2-3-1,213,423,503,224,2212,2206,4-3-3,238,515,61,300,2190,2204,2,1
1054,4-2-3-1,221,577,71,296,2089,2369,4-1-4-1,229,741,296,82,2158,2255,1,1
1055,4-2-3-1,217,497,123,156,2101,2195,3-5-2,221,423,0,292,2188,2264,0,2
1056,4-3-3,272,282,195,271,1913,2062,4-3-3,231,552,325,239,2270,2261,1,2
1057,4-4-2,217,462,150,155,2193,2254,4-3-3,243,624,321,367,2294,2258,0,0
1058,4-4-1-1,286,593,70,287,2097,2105,3-5-2,193,336,284,314,2025,1969,3,0
1059,4-3-3,219,606,147,172,2290,2191,4-4-2,371,727,136,419,2071,2255,5,0
1060,4-4-2,229,741,296,82,2158,2255,4-2-2-2,213,423,503,224,2212,2206,0,0
1061,4-2-3-1,236,538,84,242,2261,2279,4-2-3-1,217,497,123,156,2101,2195,2,0
1062,4-3-3,243,624,321,367,2294,2258,4-1-4-1,227,700,171,206,2065,2233,4,0
1063,4-2-3-1,245,562,0,87,2278,2314,3-5-2,193,336,284,314,2025,1969,3,0
1064,4-4-1-1,286,593,70,287,2097,2105,4-3-3,272,282,195,271,1913,2062,1,1
1065,4-2-3-1,203,411,128,280,2005,2034,4-4-2,217,462,150,155,2193,2254,0,1
1066,3-4-3,221,423,0,292,2188,2264,4-5-1,216,410,379,225,2086,2106,1,0
1067,4-4-2,371,727,136,419,2071,2255,4-4-2,221,577,71,296,2089,2369,1,0
1068,4-3-3,231,552,325,239,2270,2261,4-3-3,219,606,147,172,2290,2191,2,1
1069,4-4-2,287,437,134,366,2038,2187,4-3-3,238,515,61,300,2190,2204,0,2
1070,4-4-2,272,282,195,271,1913,2062,3-5-2,221,423,0,292,2188,2264,0,1
1071,4-2-3-1,221,577,71,296,2089,2369,4-4-2,287,437,134,366,2038,2187,1,3
1072,4-1-4-1,227,700,171,206,2065,2233,4-4-1-1,371,727,136,419,2071,2255,0,1
1073,4-4-2,213,423,503,224,2212,2206,4-2-3-1,245,562,0,87,2278,2314,0,3
1074,3-4-3,238,515,61,300,2190,2204,4-1-4-1,203,411,128,280,2005,2034,4,0
1075,4-4-2,216,410,379,225,2086,2106,4-2-3-1,286,593,70,287,2097,2105,1,4
1076,4-4-2,217,462,150,155,2193,2254,4-1-4-1,229,741,296,82,2158,2255,2,1
1077,4-2-3-1,217,497,123,156,2101,2195,4-3-3,231,552,325,239,2270,2261,3,2
1078,4-2-3-1,219,606,147,172,2290,2191,4-3-3,243,624,321,367,2294,2258,4,0
1079,3-5-2,193,336,284,314,2025,1969,4-2-3-1,236,538,84,242,2261,2279,3,1
1080,4-3-3,231,552,325,239,2270,2261,4-2-3-1,221,577,71,296,2089,2369,3,0
1081,3-4-1-2,229,741,296,82,2158,2255,4-5-1,227,700,171,206,2065,2233,3,0
1082,4-2-3-1,245,562,0,87,2278,2314,4-4-2,216,410,379,225,2086,2106,5,2
1083,4-2-3-1,203,411,128,280,2005,2034,4-2-2-2,213,423,503,224,2212,2206,0,1
1084,3-5-2,221,423,0,292,2188,2264,3-4-3,238,515,61,300,2190,2204,0,2
1085,4-4-2,371,727,136,419,2071,2255,3-5-2,193,336,284,314,2025,1969,1,1
1086,4-3-3,243,624,321,367,2294,2258,4-4-1-1,272,282,195,271,1913,2062,2,0
1087,4-2-3-1,286,593,70,287,2097,2105,4-2-3-1,217,497,123,156,2101,2195,2,2
1088,4-4-2,287,437,134,366,2038,2187,4-3-3,219,606,147,172,2290,2191,1,0
1089,4-3-3,236,538,84,242,2261,2279,4-4-2,217,462,150,155,2193,2254,1,0
1090,3-4-3,238,515,61,300,2190,2204,3-4-3,229,741,296,82,2158,2255,1,1
1091,4-5-1,227,700,171,206,2065,2233,4-3-3,231,552,325,239,2270,2261,2,3
1092,4-2-3-1,221,577,71,296,2089,2369,4-2-3-1,203,411,128,280,2005,2034,2,1
1093,4-4-2,213,423,503,224,2212,2206,4-3-3,243,624,321,367,2294,2258,1,3
1094,4-3-3,219,606,147,172,2290,2191,4-5-1,286,593,70,287,2097,2105,5,0
1095,3-5-2,193,336,284,314,2025,1969,3-4-3,221,423,0,292,2188,2264,1,0
1096,4-2-3-1,217,497,123,156,2101,2195,4-4-2,371,727,136,419,2071,2255,0,1
1097,4-4-1-1,272,282,195,271,1913,2062,4-2-3-1,245,562,0,87,2278,2314,0,3
1098,4-4-2,216,410,379,225,2086,2106,4-3-3,236,538,84,242,2261,2279,0,0
1099,4-4-2,217,462,150,155,2193,2254,4-4-2,287,437,134,366,2038,2187,1,1
1100,4-4-2,213,423,503,224,2212,2206,4-3-3,219,606,147,172,2290,2191,0,5
1101,4-3-3,243,624,321,367,2294,2258,4-4-2,371,727,136,419,2071,2255,1,1
1102,4-2-3-1,203,411,128,280,2005,2034,4-2-3-1,217,497,123,156,2101,2195,0,4
1103,3-5-2,193,336,284,314,2025,1969,4-3-3,231,552,325,239,2270,2261,3,0
1104,4-2-3-1,221,577,71,296,2089,2369,4-4-1-1,286,593,70,287,2097,2105,2,1
1105,4-3-3,272,282,195,271,1913,2062,4-1-4-1,227,700,171,206,2065,2233,2,0
1106,4-4-2,216,410,379,225,2086,2106,3-4-1-2,229,741,296,82,2158,2255,4,1
1107,4-4-1-1,236,538,84,242,2261,2279,3-4-3,238,515,61,300,2190,2204,2,1
1108,3-4-3,221,423,0,292,2188,2264,3-5-2,217,462,150,155,2193,2254,3,0
1109,4-2-3-1,245,562,0,87,2278,2314,4-4-2,287,437,134,366,2038,2187,2,2
1110,4-3-3,231,552,325,239,2270,2261,4-1-4-1,203,411,128,280,2005,2034,1,0
1111,3-4-3,238,515,61,300,2190,2204,4-3-3,243,624,321,367,2294,2258,2,1
1112,4-4-2,371,727,136,419,2071,2255,3-4-3,221,423,0,292,2188,2264,1,1
1113,4-2-3-1,219,606,147,172,2290,2191,3-4-3,216,410,379,225,2086,2106,2,1
1114,3-4-3,286,593,70,287,2097,2105,4-2-3-1,236,538,84,242,2261,2279,1,3
1115,4-4-2,227,700,171,206,2065,2233,4-2-3-1,245,562,0,87,2278,2314,0,2
1116,4-4-2,217,462,150,155,2193,2254,4-3-3,272,282,195,271,1913,2062,1,1
1117,3-4-3,229,741,296,82,2158,2255,3-5-2,193,336,284,314,2025,1969,2,0
1118,4-4-2,287,437,134,366,2038,2187,3-5-2,213,423,503,224,2212,2206,1,1
1119,4-2-3-1,217,497,123,156,2101,2195,4-2-3-1,221,577,71,296,2089,2369,3,1
1120,4-2-3-1,203,411,128,280,2005,2034,4-4-2,371,727,136,419,2071,2255,0,2
1121,4-4-2,216,410,379,225,2086,2106,4-4-2,287,437,134,366,2038,2187,0,2
1122,4-3-3,236,538,84,242,2261,2279,3-4-3,229,741,296,82,2158,2255,3,0
1123,4-2-3-1,213,423,503,224,2212,2206,3-5-2,286,593,70,287,2097,2105,0,0
1124,3-5-2,193,336,284,314,2025,1969,4-4-2,217,462,150,155,2193,2254,0,1
1125,3-4-3,221,423,0,292,2188,2264,4-4-2,227,700,171,206,2065,2233,2,0
1126,4-3-3,272,282,195,271,1913,2062,3-4-3,238,515,61,300,2190,2204,1,0
1127,4-3-3,221,577,71,296,2089,2369,4-3-3,219,606,147,172,2290,2191,0,4
1128,4-3-3,243,624,321,367,2294,2258,3-4-3,231,552,325,239,2270,2261,5,3
1129,4-2-3-1,245,562,0,87,2278,2314,4-2-3-1,217,497,123,156,2101,2195,1,1
1130,4-2-3-1,238,515,61,300,2190,2204,4-2-2-2,221,577,71,296,2089,2369,3,2
1131,4-4-2,371,727,136,419,2071,2255,3-4-1-2,213,423,503,224,2212,2206,1,2
1132,3-4-3,231,552,325,239,2270,2261,3-4-3,221,423,0,292,2188,2264,2,0
1133,4-4-2,227,700,171,206,2065,2233,4-2-3-1,236,538,84,242,2261,2279,1,1
1134,4-2-3-1,217,462,150,155,2193,2254,4-4-2,216,410,379,225,2086,2106,1,3
1135,3-5-2,229,741,296,82,2158,2255,4-2-3-1,245,562,0,87,2278,2314,0,2
1136,4-3-3,219,606,147,172,2290,2191,4-2-3-1,203,411,128,280,2005,2034,5,0
1137,3-5-2,286,593,70,287,2097,2105,4-3-3,243,624,321,367,2294,2258,1,3
1138,4-4-2,287,437,134,366,2038,2187,3-5-2,193,336,284,314,2025,1969,3,1
1139,4-2-3-1,217,497,123,156,2101,2195,4-1-4-1,272,282,195,271,1913,2062,1,1
1140,4-3-3,243,624,321,367,2294,2258,4-1-4-1,135,338,132,122,2089,2021,4,3
1141,4-4-2,227,700,171,206,2065,2233,4-4-2,287,437,134,366,2038,2187,1,0
1142,4-2-3-1,287,279,272,416,2039,2144,3-4-3,238,515,61,300,2190,2204,0,3
1143,3-4-3,238,515,61,300,2190,2204,3-4-3,217,497,123,156,2101,2195,2,1
1144,4-1-4-1,135,338,132,122,2089,2021,4-2-3-1,287,279,272,416,2039,2144,4,3
1145,4-3-3,217,462,150,155,2193,2254,3-4-3,265,337,132,193,1892,2003,5,2
1146,4-3-3,231,552,325,239,2270,2261,4-3-3,243,624,321,367,2294,2258,0,2
1147,4-1-4-1,229,741,296,82,2158,2255,4-4-2,371,727,136,419,2071,2255,4,2
1148,4-4-2,287,437,134,366,2038,2187,4-3-3,236,538,84,242,2261,2279,2,5
1149,4-3-3,272,282,195,271,1913,2062,3-5-2,193,336,284,314,2025,1969,1,0
1150,4-4-2,227,700,171,206,2065,2233,4-3-3,217,462,150,155,2193,2254,1,2
1151,4-4-2,371,727,136,419,2071,2255,4-4-2,287,437,134,366,2038,2187,0,1
1152,4-2-3-1,219,606,147,172,2290,2191,3-4-3,229,741,296,82,2158,2255,2,5
1153,4-3-3,243,624,321,367,2294,2258,3-4-3,238,515,61,300,2190,2204,3,1
1154,3-4-3,287,279,272,416,2039,2144,4-3-3,272,282,195,271,1913,2062,0,3
1155,4-2-3-1,231,552,325,239,2270,2261,4-4-2,227,700,171,206,2065,2233,4,0
1156,4-5-1,135,338,132,122,2089,2021,4-3-3,219,606,147,172,2290,2191,1,1
1157,4-3-3,217,462,150,155,2193,2254,3-4-3,213,423,503,224,2212,2206,4,2
1158,3-4-3,229,741,296,82,2158,2255,3-4-3,217,497,123,156,2101,2195,0,3
1159,4-3-3,238,515,61,300,2190,2204,3-5-2,193,336,284,314,2025,1969,2,1
1160,4-2-3-1,272,282,195,271,1913,2062,4-3-3,243,624,321,367,2294,2258,7,2
1161,4-4-2,287,437,134,366,2038,2187,4-2-3-1,265,337,132,193,1892,2003,2,0
1162,3-5-2,219,606,147,172,2290,2191,3-4-3,238,515,61,300,2190,2204,1,0
